sample_id,dose_g_L,concentration_ppm,pH,response
1,0.5,4,7,60.41
2,1.5,4,7,61.31
3,0.5,10,7,34.3
4,1.5,10,7,56.1
5,0.5,7,4,47.69
6,1.5,7,4,50.32
7,0.5,7,10,42.26
8,1.5,7,10,73.13
9,1.0,4,4,59.44
10,1.0,10,4,40.9
11,1.0,4,10,62.18
12,1.0,10,10,51.74
13,1.0,7,7,49.74
14,1.0,7,7,55.64
15,1.0,7,7,55.07
